id,category,value,description
initial_gold,economy,40,新档初始金币
initial_provisions,economy,8,新档初始补给
base_hull,ship,100,基础船体耐久
hull_level_bonus,ship,20,每级船体升级增加耐久
gun_level_bonus,ship,25,每级火炮升级增加齐射伤害
deck_break_threshold,naval,300,击毁甲板所需累计破坏
gun_suppression_threshold,naval,200,压制敌方火炮所需累计破坏
suppressed_retaliation_reduction,naval,8,火炮被压制后敌方反击降低
curse_first_volley_bonus,naval,50,接受诅咒后首次攻击加成
gunner_mark_bonus,naval,80,炮手标记后的下一次甲板齐射加成
navigator_intel_cost,exploration,1,测绘迷雾消耗的补给
boarding_wounded_hp,boarding,65,甲板被击毁后的敌方接舷开场状态
medic_heal_amount,boarding,28,医师紧急包扎恢复量
retry_supply_cost,recovery,1,原地重试战斗消耗的补给
port_recovery_gold_cost,recovery,5,返港恢复船只和船员的金币成本
hull_upgrade_timber_cost,upgrade,10,首次船体升级木材成本
guns_upgrade_iron_cost,upgrade,15,首次火炮升级铁料成本
