id,event_id,action_id,label,result_text,reward_id,grants_flag
choice_route_risky,event_route_choice,choose_risky_route,穿过暗礁走近路,节省补给并发现沉船残骸,reward_salvage,risky_route
choice_route_safe,event_route_choice,choose_safe_route,沿外海安全航行,消耗更多补给但船员得到休整,,safe_route
choice_safe_rest,event_safe_cove,rest_at_cove,靠岸休整,船员恢复并为接舷战保留状态,,crew_restored
choice_safe_press,event_safe_cove,press_through_cove,不停船通过,保留航行节奏但放弃额外恢复,,cove_skipped
choice_wreck_rescue,event_wreck_survivors,rescue_survivors,先救幸存者,获得船员信任和少量物资,reward_rescue,crew_trust
choice_wreck_salvage,event_wreck_survivors,salvage_wreck,先搜刮货舱,获得完整沉船战利品但船员不安,reward_salvage,salvage_found
choice_tide_lash,event_black_tide,lash_cargo,消耗补给固定货舱,以一份补给避免黑潮船损,,black_tide_secured
choice_tide_ride,event_black_tide,ride_black_tide,迎浪强行穿越,保留补给但船体受损,,black_tide_ridden
choice_whisper_resist,event_whisper,resist_whisper,拒绝低语,船员士气稳定但没有获得额外力量,,curse_resisted
choice_whisper_listen,event_whisper,listen_whisper,借用诅咒力量,获得短暂炮击强化并留下诅咒印记,,curse_marked
choice_compass_follow,event_cursed_compass,follow_cursed_compass,沿罗盘直取弱点,敌舰开场受损但诅咒进一步加深,,compass_followed
choice_compass_break,event_cursed_compass,break_cursed_compass,砸碎诅咒罗盘,船员意志增强并提高接舷状态,,compass_broken
choice_rune_take,event_rune_clue,take_rune_clue,收下符文碎片,第一枚符文线索被记录,reward_rune_clue,chapter_01_complete
